age,gender,education_level,monthly_income,time_spent_on_social_media,platform_most_used,follow_influencers,ad_frequency,social_media_ads_clicks,perceived_discount,emotional_trigger_score,peer_influence_score,online_purchase_frequency,impulse_purchase
40,Male,High School,49943,4.1,Twitter,1,12,3,2,4,3,10,0
39,Male,Graduate,57602,4.0,Twitter,1,16,1,8,6,7,9,1
42,Male,Graduate,42715,2.4,TikTok,1,8,2,2,7,8,6,0
39,Female,Graduate,20547,0.9,Facebook,0,6,6,9,5,6,1,0
39,Male,High School,45995,2.8,YouTube,1,8,4,4,5,6,12,0
59,Female,High School,30229,2.2,TikTok,1,9,9,1,2,8,10,0
23,Female,Graduate,32070,4.2,Twitter,0,11,4,4,7,8,1,1
32,Female,Graduate,48795,3.8,TikTok,0,18,6,3,6,7,7,1
54,Male,Graduate,58574,2.5,Facebook,0,10,8,6,1,6,11,0
50,Female,High School,40319,1.7,YouTube,0,7,5,7,4,6,9,0
25,Male,Graduate,44632,5.9,Facebook,1,5,3,8,3,10,9,0
22,Female,Postgraduate,65533,3.0,Instagram,0,13,4,2,3,6,9,0
56,Male,Graduate,43611,4.3,YouTube,1,11,3,6,7,8,4,1
21,Male,High School,79025,1.3,Facebook,1,14,6,6,10,1,9,1
23,Female,Graduate,48482,3.2,Twitter,1,12,6,10,4,5,1,0
49,Male,High School,13588,0.7,YouTube,1,11,9,5,8,3,4,1
47,Male,High School,51300,3.3,YouTube,1,11,5,10,9,8,7,1
52,Female,Postgraduate,45717,5.8,TikTok,1,7,5,10,3,6,5,0
57,Female,High School,59346,2.6,Twitter,1,8,3,7,5,2,2,0
33,Female,Graduate,50097,0.7,Instagram,0,9,8,3,4,7,7,0
30,Female,Graduate,37923,0.7,Facebook,1,4,6,4,10,7,14,0
59,Female,Graduate,21635,2.6,TikTok,0,17,5,10,6,5,13,1
47,Male,Graduate,36864,1.4,Facebook,1,11,1,9,10,8,8,1
36,Male,High School,27242,0.6,Instagram,0,12,3,4,4,5,4,0
34,Male,Graduate,31292,4.7,Instagram,1,11,2,3,8,1,12,0
36,Other,Graduate,48828,3.0,YouTube,1,11,7,2,3,9,1,1
45,Female,High School,65048,2.1,Instagram,1,12,2,5,5,4,1,0
43,Male,Graduate,45920,5.5,Facebook,0,9,2,4,1,2,6,0
54,Female,High School,22061,1.1,Twitter,0,9,8,8,6,4,0,0
43,Other,High School,46669,5.8,Twitter,0,8,3,7,5,9,9,0
40,Male,Graduate,57949,2.2,YouTube,0,12,6,6,8,2,11,0
26,Female,High School,30853,5.4,Facebook,1,16,6,2,9,4,1,1
29,Female,Graduate,37989,3.8,Facebook,0,7,2,3,8,2,9,0
18,Female,Graduate,40220,5.0,Instagram,1,7,5,10,8,5,3,0
18,Male,Postgraduate,28226,5.9,Facebook,1,7,2,9,3,3,0,0
51,Female,High School,49724,2.1,TikTok,0,13,2,9,4,10,3,1
49,Other,High School,38185,5.8,Instagram,1,10,5,5,4,2,12,0
42,Female,High School,46292,2.6,TikTok,0,12,4,3,5,9,11,1
57,Female,Graduate,26687,2.6,YouTube,0,12,3,2,9,5,10,1
18,Other,Graduate,33438,2.4,Twitter,0,7,5,8,9,10,12,1
33,Female,High School,50835,3.5,YouTube,1,6,8,6,10,5,9,1
56,Male,Postgraduate,34407,1.3,Twitter,1,4,7,10,1,1,14,0
22,Female,High School,65904,3.5,YouTube,1,7,5,7,8,6,4,0
39,Female,Graduate,34005,3.5,Facebook,1,9,6,1,1,7,8,0
46,Male,Graduate,43370,4.7,TikTok,0,7,3,1,2,1,0,0
20,Female,Postgraduate,53988,5.1,Twitter,1,8,5,10,7,9,11,1
29,Other,Graduate,18724,2.9,Instagram,1,6,8,2,8,8,4,1
43,Other,Postgraduate,13587,2.2,TikTok,0,4,5,10,1,8,1,0
33,Female,Graduate,17115,1.9,Instagram,0,12,6,3,3,7,8,0
54,Male,Postgraduate,58938,1.6,TikTok,1,6,5,1,7,5,5,0
39,Other,High School,31722,0.8,TikTok,0,11,5,5,9,3,1,0
46,Female,Postgraduate,78372,2.4,YouTube,1,10,7,3,8,9,13,1
31,Male,Graduate,31536,2.0,Twitter,0,11,5,1,8,7,2,1
45,Other,Postgraduate,42768,5.8,Twitter,0,11,4,8,9,10,13,1
22,Female,Graduate,63131,3.6,TikTok,0,11,7,6,10,10,7,1
47,Female,Graduate,70091,2.4,Facebook,0,7,6,9,3,8,0,0
22,Female,Graduate,70922,3.7,Facebook,1,6,9,3,8,6,11,1
29,Male,Graduate,58125,1.3,Instagram,1,13,4,9,1,5,2,0
33,Male,High School,55360,2.9,Instagram,1,9,1,9,8,8,12,0
43,Male,High School,48887,3.9,YouTube,1,11,8,1,7,3,9,1
43,Female,High School,51675,3.2,TikTok,1,14,5,3,8,7,0,1
38,Male,High School,31732,2.7,Instagram,1,12,6,6,1,2,10,0
56,Male,Postgraduate,27727,6.0,Instagram,0,12,5,8,6,3,10,0
53,Male,High School,39949,5.3,TikTok,1,11,6,4,7,2,7,0
50,Female,Postgraduate,37447,3.9,YouTube,1,14,8,5,5,5,0,1
47,Other,Graduate,33201,3.6,Instagram,0,8,2,9,5,7,12,0
54,Male,High School,50445,3.9,YouTube,1,8,4,6,7,10,4,1
40,Male,Graduate,54329,1.6,Twitter,0,12,1,7,3,10,3,0
27,Female,Graduate,41326,2.7,YouTube,1,13,6,7,6,1,6,0
22,Female,Graduate,62162,0.7,Facebook,1,12,8,4,7,10,13,1
53,Male,Graduate,22874,3.1,Facebook,1,6,7,4,1,9,4,0
51,Female,Graduate,37095,3.5,YouTube,1,8,6,4,2,1,7,0
48,Male,High School,29247,1.8,Facebook,1,6,4,5,4,1,11,0
27,Male,Postgraduate,12001,5.8,Twitter,1,15,3,5,8,10,13,1
36,Female,Postgraduate,38759,5.5,TikTok,1,7,6,8,10,8,10,1
49,Male,Graduate,38173,4.5,Facebook,0,9,6,9,6,6,0,0
18,Other,High School,62701,3.4,Facebook,1,11,3,2,1,6,4,0
22,Male,Graduate,49462,5.3,YouTube,1,5,1,7,10,9,3,0
21,Female,High School,24637,1.2,Twitter,1,9,8,1,5,4,2,0
33,Female,High School,67811,4.8,TikTok,1,6,2,1,7,8,4,0
41,Male,High School,58315,1.2,YouTube,1,8,5,4,6,4,9,0
33,Female,Graduate,48731,4.9,YouTube,1,9,4,10,9,2,14,0
19,Male,Postgraduate,36602,2.0,Twitter,1,12,6,7,8,8,2,1
45,Other,Graduate,25608,5.3,TikTok,1,6,4,2,4,7,7,0
49,Male,Graduate,34416,5.7,Twitter,0,8,5,2,5,4,12,0
44,Male,Graduate,56331,1.3,TikTok,1,9,5,1,7,9,2,1
37,Male,Graduate,68268,3.0,Twitter,1,13,6,10,8,9,0,1
41,Other,Graduate,63148,5.9,YouTube,1,13,3,2,5,8,8,1
29,Female,Postgraduate,32667,3.2,YouTube,0,11,5,7,9,1,14,0
52,Female,High School,23205,5.2,Instagram,1,15,5,9,10,7,8,1
50,Male,Postgraduate,42113,3.7,Facebook,1,13,4,6,4,5,5,0
50,Female,Graduate,13473,2.6,Twitter,0,11,4,10,4,7,9,0
54,Male,Graduate,44847,2.1,Instagram,1,8,4,2,8,9,0,1
29,Female,Graduate,37785,1.6,Facebook,1,8,4,10,1,2,7,0
20,Male,Graduate,33009,4.7,Twitter,1,12,6,10,8,4,1,1
18,Male,Postgraduate,16079,2.6,TikTok,1,7,6,9,5,4,8,0
50,Male,Postgraduate,47704,3.3,Facebook,1,4,6,7,1,2,13,0
57,Female,Graduate,32009,3.2,YouTube,1,5,7,1,4,3,7,0
27,Female,High School,22451,3.7,Instagram,1,14,5,9,2,8,2,1
46,Male,Graduate,-3083,5.3,Facebook,0,5,8,2,4,9,12,0
30,Female,Postgraduate,39587,5.9,Facebook,0,11,4,4,8,6,4,1
29,Female,High School,66583,2.7,YouTube,1,8,5,9,5,10,8,0
48,Female,Graduate,64918,5.1,Twitter,0,18,1,4,1,2,12,0
19,Male,Graduate,33143,4.7,TikTok,1,5,7,3,7,2,0,0
52,Male,Graduate,30966,3.7,YouTube,1,13,5,1,1,7,8,0
40,Female,High School,47031,5.8,TikTok,1,11,9,7,9,8,14,1
34,Male,Graduate,25024,1.6,Twitter,1,11,5,6,3,8,3,0
43,Male,Postgraduate,44526,1.1,Facebook,1,10,8,10,3,6,3,0
25,Female,High School,51491,5.2,TikTok,1,16,9,4,6,10,14,1
46,Other,High School,58403,2.9,Instagram,1,10,5,6,10,8,3,1
43,Male,Postgraduate,38497,5.2,Instagram,0,15,9,6,6,1,9,1
27,Male,High School,36944,5.4,YouTube,1,8,5,4,6,9,11,0
43,Female,Postgraduate,26830,0.8,Twitter,1,11,6,6,1,1,8,0
51,Male,Graduate,27596,5.4,YouTube,1,8,3,10,5,3,13,0
58,Male,High School,36602,3.0,YouTube,1,8,5,8,6,9,5,0
24,Male,Postgraduate,45510,3.3,YouTube,0,7,5,3,8,5,10,0
21,Female,Graduate,53703,3.9,Instagram,1,11,8,4,1,9,7,1
28,Female,Graduate,27952,5.6,Instagram,1,15,7,10,5,9,11,1
46,Male,Graduate,62390,0.6,YouTube,1,3,8,1,3,6,13,0
53,Male,Graduate,35933,3.1,Instagram,1,10,12,4,2,1,3,0
42,Male,High School,39679,4.3,Twitter,1,6,2,10,8,10,2,0
38,Female,Graduate,28791,4.5,YouTube,1,9,6,10,7,7,13,1
53,Male,Postgraduate,3636,4.3,Instagram,1,9,4,9,10,6,0,1
27,Male,High School,53260,1.2,TikTok,1,9,7,8,7,9,9,1
54,Female,Graduate,51052,2.1,YouTube,1,10,4,4,5,7,14,0
26,Male,Graduate,35780,2.5,YouTube,0,9,4,7,9,4,14,0
41,Female,Graduate,41004,4.9,Twitter,1,12,3,10,5,7,6,0
52,Male,High School,47739,2.0,Facebook,1,8,6,3,2,2,3,0
52,Male,Postgraduate,16561,1.7,Facebook,0,16,6,9,3,6,13,1
53,Male,Graduate,32064,5.8,Twitter,0,12,4,10,4,6,7,0
35,Female,High School,51913,0.5,Twitter,1,14,7,4,5,2,13,0
56,Female,High School,21185,6.0,Twitter,1,11,6,2,3,4,2,0
49,Female,High School,44403,4.2,Facebook,1,14,6,10,7,8,0,1
41,Male,Graduate,19651,5.1,Twitter,1,10,6,5,5,8,4,1
40,Female,Graduate,46996,2.1,Instagram,0,8,2,2,5,8,13,0
49,Male,Postgraduate,39465,0.6,YouTube,0,14,4,10,6,8,1,1
