记录编号,性别,社会比较倾向,相对剥夺感,经济不满意度,地位提升期望,当前社会阶层_1到10,逛街购物频率,上网频率
3189,2,60,46.666667,20,11.111111,5,4,1
3199,2,30,40.0,20,44.444444,5,3,1
3225,2,70,100.0,80,0.0,3,3,5
3226,2,50,53.333333,40,22.222222,3,4,1
3231,1,50,46.666667,40,0.0,5,5,1
3234,1,20,46.666667,80,0.0,1,2,1
3240,2,40,40.0,40,11.111111,7,2,1
3246,2,40,60.0,100,11.111111,5,3,1
3250,1,30,53.333333,20,0.0,5,4,5
3256,2,40,40.0,20,22.222222,6,3,1
3257,2,30,40.0,20,0.0,5,2,1
3265,2,40,60.0,40,11.111111,7,2,1
3267,1,90,100.0,80,0.0,1,5,5
3271,1,30,40.0,40,22.222222,5,2,1
3272,1,60,46.666667,80,0.0,3,4,1
3275,1,30,40.0,80,0.0,1,3,1
3279,2,30,60.0,20,22.222222,5,3,1
3280,1,20,46.666667,20,11.111111,1,5,1
3290,1,60,100.0,20,0.0,6,4,5
3291,2,30,40.0,20,0.0,5,3,1
3293,2,30,40.0,20,22.222222,7,4,1
3297,1,20,40.0,0,0.0,1,2,1
3299,1,30,40.0,20,55.555556,3,4,1
3300,2,30,80.0,40,22.222222,3,4,1
3301,2,30,53.333333,20,33.333333,6,2,1
3302,2,30,60.0,100,0.0,8,4,1
3308,1,60,66.666667,20,0.0,3,4,1
3313,2,40,73.333333,40,0.0,3,3,1
3314,1,60,66.666667,60,0.0,3,3,3
3315,2,60,66.666667,40,0.0,5,2,1
3324,2,40,46.666667,20,22.222222,5,1,1
3341,2,50,60.0,60,0.0,3,3,2
3342,2,60,66.666667,40,0.0,4,2,1
3343,1,80,73.333333,60,0.0,3,3,1
3346,1,30,40.0,20,22.222222,5,3,1
3348,2,30,40.0,80,44.444444,3,2,1
3353,2,30,53.333333,20,22.222222,3,4,1
3355,2,30,40.0,60,11.111111,4,2,1
3357,2,30,40.0,20,11.111111,6,3,1
3359,1,90,86.666667,100,0.0,4,4,1
3363,2,40,66.666667,60,0.0,4,4,1
3365,1,50,53.333333,40,11.111111,6,5,1
3367,2,60,100.0,20,0.0,3,5,5
3372,2,30,60.0,40,0.0,6,4,1
3374,1,30,60.0,20,0.0,2,3,1
3380,1,40,86.666667,60,0.0,5,1,1
3381,1,30,40.0,20,0.0,5,4,1
3382,2,60,80.0,20,0.0,10,1,5
3395,2,50,60.0,40,0.0,5,3,1
3396,2,40,40.0,20,44.444444,3,3,1
3401,1,30,40.0,20,22.222222,4,3,1
3406,2,50,53.333333,40,22.222222,5,4,1
3420,2,40,60.0,20,0.0,5,3,1
3421,2,30,33.333333,80,0.0,1,1,1
3423,1,40,60.0,20,0.0,5,3,1
3426,2,30,46.666667,20,11.111111,5,3,5
3437,2,60,86.666667,20,0.0,5,5,2
3442,1,60,100.0,80,0.0,5,4,2
3454,2,50,60.0,60,33.333333,4,3,1
3460,1,30,40.0,60,11.111111,7,5,2
3469,2,40,53.333333,20,11.111111,7,3,1
3474,1,50,66.666667,60,0.0,3,4,1
3481,1,50,93.333333,40,0.0,2,5,1
3483,1,50,53.333333,20,11.111111,5,4,1
3489,2,60,80.0,20,0.0,5,3,1
3493,2,50,53.333333,20,0.0,3,3,1
3494,1,30,53.333333,40,22.222222,2,2,1
3496,2,50,86.666667,20,44.444444,3,4,1
3497,1,40,60.0,80,0.0,3,5,1
3503,1,30,40.0,20,0.0,4,4,1
3514,1,40,46.666667,20,11.111111,7,3,1
3515,1,30,40.0,20,33.333333,5,3,2
3525,2,60,100.0,20,11.111111,6,3,1
3535,1,30,80.0,20,0.0,7,3,1
3543,1,20,20.0,20,0.0,1,4,1
3548,2,20,26.666667,40,11.111111,5,4,1
3560,2,60,100.0,20,11.111111,3,5,1
3568,1,30,60.0,20,0.0,5,5,2
3570,1,60,60.0,60,0.0,1,5,2
3574,2,30,60.0,80,11.111111,2,4,2
3576,2,60,53.333333,80,22.222222,4,3,1
3584,1,40,60.0,40,0.0,5,1,4
3588,1,60,60.0,20,33.333333,2,4,1
3590,1,30,33.333333,20,11.111111,7,4,1
3594,1,30,53.333333,40,0.0,3,3,1
3596,2,60,60.0,40,0.0,4,4,2
3598,2,30,46.666667,20,22.222222,6,3,1
3600,1,60,73.333333,40,0.0,4,4,1
3601,1,50,66.666667,40,0.0,4,4,1
3602,2,30,60.0,20,0.0,4,4,3
3611,1,50,60.0,80,0.0,2,5,1
3614,1,40,60.0,40,0.0,5,5,5
3619,2,40,60.0,60,0.0,4,4,5
3631,2,30,40.0,40,0.0,5,4,1
3632,2,30,80.0,80,0.0,2,3,1
3635,1,30,33.333333,40,0.0,4,5,5
3638,1,60,80.0,40,0.0,3,4,1
3639,2,40,40.0,40,11.111111,5,3,1
3640,1,60,100.0,20,0.0,4,4,1
3646,1,30,53.333333,20,66.666667,1,4,1
3653,1,30,46.666667,20,0.0,6,3,1
3657,1,40,66.666667,20,22.222222,2,3,1
3659,2,40,60.0,80,0.0,3,3,1
3666,2,30,60.0,20,0.0,6,3,1
3668,2,30,60.0,20,11.111111,6,3,1
3686,1,30,40.0,20,22.222222,4,5,4
3689,2,40,66.666667,20,11.111111,5,3,1
3695,2,30,40.0,20,22.222222,3,4,1
3700,2,50,66.666667,60,33.333333,3,3,1
3705,2,30,40.0,20,22.222222,6,1,1
3707,1,60,86.666667,60,0.0,3,4,1
3709,1,30,33.333333,20,33.333333,4,3,1
3711,2,30,40.0,20,0.0,6,1,1
3714,1,30,40.0,40,22.222222,5,4,1
3716,1,60,100.0,60,0.0,5,5,1
3723,1,30,40.0,40,0.0,1,3,1
3726,1,30,46.666667,60,0.0,4,4,1
3728,1,20,33.333333,20,11.111111,7,4,1
3733,1,50,66.666667,20,11.111111,6,4,1
3738,1,70,73.333333,80,22.222222,3,4,1
3740,1,60,86.666667,20,33.333333,5,3,1
3741,1,50,53.333333,80,0.0,3,4,5
3742,1,50,93.333333,80,0.0,4,3,1
3743,1,50,60.0,0,11.111111,5,4,1
3746,2,30,60.0,20,22.222222,4,4,1
3748,2,60,40.0,20,11.111111,3,3,1
3751,1,30,40.0,20,0.0,10,2,1
3752,1,30,40.0,20,0.0,5,4,1
3756,1,60,60.0,60,0.0,4,4,2
3763,2,40,60.0,0,0.0,5,4,4
3765,2,40,40.0,60,0.0,3,2,1
3770,1,30,40.0,20,0.0,3,5,2
3773,2,50,66.666667,40,22.222222,5,3,1
3776,2,30,46.666667,60,0.0,3,4,5
3778,2,30,40.0,20,0.0,5,4,1
3782,1,70,73.333333,100,44.444444,6,4,1
3783,2,40,66.666667,40,0.0,10,3,5
3786,2,60,66.666667,80,33.333333,3,4,1
3789,2,30,40.0,20,0.0,5,3,1
3794,2,60,66.666667,60,0.0,3,5,5
3795,1,40,46.666667,40,55.555556,3,3,1
3798,1,50,53.333333,60,0.0,3,4,1
3800,2,50,73.333333,40,11.111111,6,2,1
3801,1,60,66.666667,60,0.0,2,3,2
3805,1,30,40.0,80,33.333333,1,5,3
3813,2,30,40.0,20,11.111111,2,5,1
3823,1,30,26.666667,20,11.111111,6,3,1
3828,1,30,53.333333,20,0.0,6,3,1
3845,2,50,33.333333,60,22.222222,2,2,1
3846,2,30,40.0,80,0.0,3,3,5
3848,2,40,66.666667,40,0.0,2,3,1
3851,2,30,40.0,20,22.222222,4,1,1
3856,1,70,66.666667,100,22.222222,4,3,1
3864,2,40,46.666667,60,0.0,1,1,5
3874,2,30,40.0,20,0.0,4,3,1
3877,2,40,40.0,40,0.0,5,1,1
3896,2,80,73.333333,80,22.222222,2,4,5
3897,2,40,40.0,40,22.222222,3,4,1
3898,1,30,40.0,20,0.0,5,2,2
3917,2,30,40.0,80,0.0,6,3,1
3923,1,30,40.0,40,22.222222,4,2,1
3927,2,30,66.666667,60,22.222222,5,1,5
3937,1,30,46.666667,80,0.0,1,3,1
3938,2,30,53.333333,100,11.111111,2,2,1
3940,1,50,53.333333,60,0.0,4,4,1
3944,1,30,40.0,20,66.666667,2,2,1
3950,2,40,73.333333,20,11.111111,5,1,1
3960,1,30,33.333333,20,22.222222,5,5,1
3967,2,60,80.0,80,0.0,5,2,1
3969,2,20,20.0,20,0.0,6,3,1
3970,1,30,53.333333,40,22.222222,5,5,1
3977,2,50,60.0,40,22.222222,4,3,1
3980,1,70,86.666667,100,0.0,5,4,1
3984,1,60,66.666667,40,11.111111,5,4,1
3986,2,20,33.333333,40,22.222222,1,4,1
3988,2,50,80.0,40,0.0,5,3,5
3990,1,20,20.0,20,11.111111,2,4,5
3992,2,40,40.0,20,11.111111,5,2,2
3994,1,30,33.333333,60,33.333333,5,3,1
3995,1,30,53.333333,80,0.0,3,5,1
3996,1,50,60.0,40,0.0,1,5,1
4001,2,30,20.0,40,44.444444,5,3,1
4006,1,30,33.333333,20,0.0,6,2,1
4007,1,90,100.0,80,11.111111,1,5,5
4008,2,60,100.0,20,0.0,1,3,5
4011,2,30,40.0,20,11.111111,8,3,1
4013,1,80,80.0,80,11.111111,3,3,1
4019,2,30,40.0,20,11.111111,2,2,1
4030,2,40,60.0,20,11.111111,4,3,4
4041,1,50,46.666667,20,22.222222,3,2,1
4042,2,70,93.333333,60,11.111111,1,4,1
4044,1,60,80.0,80,22.222222,7,3,1
4048,1,70,93.333333,60,0.0,3,4,1
4053,1,60,40.0,60,11.111111,5,4,1
4054,1,40,40.0,40,11.111111,3,3,1
4057,1,30,40.0,40,22.222222,6,2,1
4064,1,50,60.0,80,0.0,2,5,4
4065,1,30,60.0,80,11.111111,4,4,1
4066,2,40,33.333333,40,0.0,5,2,5
4070,2,30,40.0,20,11.111111,5,3,1
4071,2,40,80.0,80,55.555556,3,5,2
4073,1,70,53.333333,60,0.0,4,4,1
4077,2,30,26.666667,60,44.444444,4,2,1
4078,1,30,40.0,80,11.111111,4,4,1
4080,1,30,60.0,80,0.0,2,4,1
4093,1,40,60.0,60,22.222222,3,3,1
4095,1,60,80.0,80,33.333333,5,4,1
4097,2,30,60.0,20,0.0,3,2,1
4100,1,90,93.333333,40,33.333333,3,4,1
4107,2,80,86.666667,60,0.0,5,4,0
4108,2,40,53.333333,60,22.222222,4,2,1
4135,2,30,40.0,20,0.0,3,4,1
4138,2,40,40.0,40,33.333333,2,5,1
4142,2,70,80.0,60,11.111111,2,3,1
4151,2,30,46.666667,40,11.111111,6,3,1
4164,1,30,40.0,80,0.0,2,5,5
4166,2,50,66.666667,60,22.222222,5,3,1
4169,1,30,40.0,80,11.111111,5,3,1
4173,1,60,66.666667,20,0.0,5,5,5
4175,2,40,60.0,80,0.0,1,1,1
4178,1,40,53.333333,40,22.222222,4,4,1
4187,1,60,80.0,40,44.444444,5,5,0
4193,1,50,73.333333,40,0.0,10,3,5
4196,2,40,60.0,20,22.222222,4,3,1
4197,1,60,100.0,20,55.555556,3,3,1
4205,1,20,73.333333,80,11.111111,4,5,5
4206,1,40,46.666667,60,22.222222,6,3,1
4208,1,40,66.666667,60,0.0,5,3,1
4212,2,30,26.666667,20,11.111111,6,2,5
4213,2,50,60.0,60,0.0,4,3,2
4217,2,60,80.0,20,33.333333,4,2,1
4221,2,30,46.666667,20,0.0,7,4,1
4222,2,40,46.666667,80,0.0,5,1,1
4224,2,30,46.666667,60,11.111111,5,1,1
4225,2,30,40.0,80,44.444444,4,1,1
4234,1,60,40.0,20,22.222222,4,2,1
4241,2,40,60.0,20,0.0,6,3,1
4246,1,30,40.0,80,0.0,1,3,1
4252,2,30,46.666667,60,11.111111,6,3,2
4254,1,60,60.0,20,0.0,6,4,2
4266,1,30,60.0,80,0.0,5,4,1
4275,2,20,26.666667,20,22.222222,5,2,1
4301,2,50,66.666667,60,22.222222,6,2,1
4303,2,30,40.0,80,0.0,6,4,1
4307,1,50,53.333333,40,0.0,6,4,1
4310,1,50,66.666667,60,0.0,6,4,1
4311,1,40,40.0,40,11.111111,2,4,1
4312,1,30,40.0,20,22.222222,7,2,1
4323,2,30,80.0,20,0.0,6,4,1
4328,2,20,46.666667,60,44.444444,4,3,1
4330,1,50,60.0,40,11.111111,4,5,5
4332,1,40,46.666667,20,0.0,5,3,1
4335,2,30,80.0,80,11.111111,3,4,5
4342,1,50,40.0,40,22.222222,5,3,2
4350,2,40,46.666667,40,11.111111,4,3,1
4354,1,30,40.0,100,11.111111,4,4,1
4371,1,50,60.0,40,11.111111,2,3,1
4378,1,60,80.0,40,0.0,1,5,4
4379,2,50,73.333333,40,11.111111,6,3,1
4386,1,30,40.0,20,0.0,6,1,1
4390,2,30,40.0,40,11.111111,6,3,1
4392,1,30,60.0,80,0.0,4,4,1
4394,2,30,40.0,20,0.0,3,4,1
4397,1,70,73.333333,60,11.111111,4,4,1
4408,2,30,33.333333,40,0.0,7,3,1
4413,2,40,40.0,40,0.0,1,2,1
4430,1,30,73.333333,20,11.111111,3,4,1
4437,1,50,73.333333,60,33.333333,4,5,1
4438,1,30,40.0,20,0.0,2,5,1
4445,1,60,53.333333,80,0.0,1,3,1
4459,1,20,20.0,20,0.0,5,4,2
4470,1,40,60.0,60,0.0,2,5,5
4489,2,30,40.0,20,22.222222,5,3,1
4492,1,20,20.0,20,11.111111,5,2,5
4498,1,40,46.666667,60,11.111111,6,3,1
4501,2,30,46.666667,20,0.0,2,4,3
4511,1,50,46.666667,40,0.0,7,4,1
4520,2,30,40.0,20,11.111111,4,2,1
4531,2,90,100.0,80,0.0,8,2,5
4535,2,60,86.666667,60,33.333333,5,3,1
4539,1,50,53.333333,40,11.111111,4,4,1
4550,1,90,60.0,80,0.0,1,2,1
4561,2,40,80.0,20,0.0,4,5,1
4576,1,40,40.0,20,11.111111,5,4,1
4577,1,40,53.333333,40,0.0,5,4,1
4580,2,30,40.0,20,44.444444,4,3,1
4581,2,20,20.0,20,33.333333,5,2,1
4583,2,50,46.666667,40,0.0,8,4,5
4584,1,40,40.0,40,22.222222,6,4,1
4589,1,60,100.0,20,22.222222,5,3,1
4592,2,30,40.0,20,0.0,5,1,1
4599,1,50,66.666667,60,11.111111,4,4,1
4608,1,60,73.333333,20,22.222222,5,2,1
4615,1,50,46.666667,80,22.222222,2,4,1
4620,1,90,80.0,100,0.0,1,3,3
4623,1,30,33.333333,20,22.222222,5,2,4
4624,2,60,86.666667,20,0.0,5,4,2
4627,2,60,100.0,100,0.0,3,4,3
4628,2,30,66.666667,20,0.0,5,4,3
4646,2,20,33.333333,80,0.0,5,2,1
4649,2,40,53.333333,40,0.0,5,3,1
4655,2,40,33.333333,40,0.0,5,3,1
4661,2,70,86.666667,20,22.222222,3,3,1
4664,1,60,73.333333,40,0.0,5,3,1
4669,1,90,86.666667,100,0.0,1,5,2
4673,2,40,53.333333,20,11.111111,5,4,2
4683,2,50,73.333333,60,33.333333,1,4,3
4687,1,60,80.0,20,11.111111,4,4,1
4692,2,30,53.333333,20,0.0,5,4,1
4693,1,40,53.333333,40,11.111111,2,4,1
4696,2,70,53.333333,40,11.111111,3,3,1
4698,2,30,40.0,20,22.222222,5,2,1
4702,1,50,60.0,40,11.111111,4,2,1
4707,2,60,93.333333,60,0.0,6,3,5
4710,1,100,100.0,100,0.0,5,5,3
4727,2,40,66.666667,20,44.444444,1,2,1
4736,1,50,66.666667,20,22.222222,4,4,1
4746,2,60,80.0,20,55.555556,5,5,1
4759,2,40,66.666667,40,22.222222,5,2,1
4764,1,20,20.0,40,11.111111,6,4,5
4770,1,30,40.0,20,11.111111,6,5,3
4772,2,40,46.666667,80,22.222222,5,3,3
4781,1,50,60.0,80,0.0,3,2,5
4785,1,30,40.0,20,33.333333,4,5,1
4787,2,60,66.666667,60,22.222222,3,3,1
4794,2,20,73.333333,0,0.0,5,2,1
4795,2,70,100.0,20,0.0,7,2,2
4796,1,60,93.333333,40,0.0,3,4,1
4803,1,30,40.0,60,22.222222,3,4,1
4805,1,50,73.333333,40,11.111111,7,3,1
4808,1,30,40.0,20,22.222222,4,3,1
4814,1,40,40.0,60,22.222222,5,3,1
4821,2,30,80.0,40,0.0,4,5,1
4824,1,30,40.0,20,11.111111,5,4,1
4825,1,30,40.0,20,11.111111,5,4,1
4839,1,60,100.0,100,44.444444,1,3,1
4853,2,30,53.333333,80,0.0,2,5,3
4854,2,30,40.0,80,33.333333,4,3,1
4855,2,30,26.666667,20,0.0,1,3,1
4877,2,30,73.333333,80,11.111111,2,4,1
4878,1,50,93.333333,80,22.222222,3,4,1
4881,2,60,100.0,80,0.0,1,5,5
4882,2,50,66.666667,60,33.333333,3,4,1
4886,2,30,40.0,20,11.111111,6,3,3
4894,2,60,80.0,20,22.222222,5,3,1
4896,1,30,60.0,20,0.0,5,2,2
4898,2,60,80.0,80,0.0,2,1,2
4902,2,30,40.0,20,44.444444,3,3,1
4908,2,50,60.0,20,33.333333,5,1,1
4910,1,40,60.0,40,0.0,5,4,2
4911,1,30,46.666667,20,11.111111,5,4,1
4914,2,30,40.0,20,0.0,10,2,5
4931,2,30,60.0,20,0.0,5,5,5
4933,2,30,66.666667,20,22.222222,5,2,1
4936,2,60,46.666667,60,33.333333,3,3,1
4959,1,80,100.0,60,22.222222,5,4,1
4976,2,20,26.666667,20,22.222222,5,2,1
4987,1,30,40.0,20,0.0,1,4,1
4993,1,30,40.0,40,22.222222,4,2,1
4995,2,30,80.0,100,44.444444,5,3,1
4997,1,30,46.666667,20,11.111111,5,3,1
5003,1,30,60.0,80,0.0,1,4,1
5011,1,30,40.0,20,0.0,6,3,1
5019,2,60,73.333333,20,22.222222,4,3,1
5021,1,30,40.0,60,11.111111,5,4,1
5024,2,40,66.666667,60,0.0,4,4,1
5025,2,40,40.0,20,66.666667,3,2,1
5028,1,30,46.666667,40,33.333333,4,3,1
5035,1,60,53.333333,80,33.333333,3,4,1
5043,2,20,20.0,20,33.333333,4,3,1
5046,2,20,53.333333,20,11.111111,9,3,4
5056,1,40,60.0,20,0.0,5,4,1
5058,2,50,80.0,20,22.222222,4,2,1
5059,2,30,40.0,40,11.111111,7,2,1
5067,1,100,73.333333,20,0.0,5,5,1
5071,2,30,60.0,80,11.111111,5,3,1
5079,2,50,40.0,40,22.222222,5,2,5
5080,1,30,60.0,20,0.0,9,2,1
5086,2,60,80.0,80,0.0,8,2,1
5087,1,30,80.0,80,0.0,1,1,1
5093,2,40,66.666667,20,0.0,5,3,2
5102,1,20,60.0,60,22.222222,2,5,5
5106,2,50,73.333333,20,0.0,5,3,2
5110,1,40,40.0,40,11.111111,5,3,1
5112,2,20,46.666667,20,66.666667,1,3,1
5114,2,40,60.0,60,0.0,6,2,1
5117,1,50,93.333333,20,0.0,4,2,2
5122,2,30,46.666667,40,11.111111,5,4,1
5137,2,20,53.333333,40,22.222222,5,3,1
5143,2,30,60.0,80,11.111111,5,4,1
5144,1,30,66.666667,20,33.333333,3,2,1
5155,1,30,40.0,20,11.111111,7,4,1
5157,2,30,40.0,20,22.222222,3,3,5
5161,2,40,60.0,40,0.0,7,3,1
5163,2,30,46.666667,20,0.0,7,3,1
5166,1,30,53.333333,20,0.0,5,1,1
5173,2,60,40.0,80,0.0,1,2,1
5189,1,30,80.0,60,22.222222,3,3,5
5193,1,30,40.0,20,11.111111,5,5,2
5197,1,70,66.666667,80,11.111111,3,4,1
5209,2,20,40.0,80,22.222222,3,2,1
5210,2,50,60.0,20,0.0,5,4,5
5219,2,30,40.0,20,11.111111,5,3,1
5221,1,30,60.0,40,44.444444,4,5,1
5228,2,30,40.0,40,44.444444,5,3,1
5234,2,40,40.0,80,0.0,4,2,1
5235,2,50,93.333333,40,0.0,6,2,1
5237,2,20,46.666667,20,11.111111,5,1,1
5240,2,30,40.0,20,11.111111,6,4,1
5253,2,60,86.666667,80,0.0,5,4,4
5255,2,40,66.666667,60,0.0,2,4,1
5258,1,30,40.0,20,11.111111,5,2,1
5260,2,60,100.0,20,0.0,1,4,1
5264,2,50,80.0,80,33.333333,5,4,1
5268,2,40,40.0,40,33.333333,5,4,1
5270,1,60,33.333333,40,22.222222,5,3,1
5275,2,60,80.0,40,33.333333,4,3,1
5276,2,30,40.0,60,33.333333,5,4,1
5277,2,60,66.666667,20,0.0,4,3,1
5279,1,40,46.666667,40,0.0,3,3,3
5285,1,20,20.0,20,0.0,3,4,1
5286,1,30,46.666667,60,22.222222,5,4,1
5289,1,50,60.0,60,11.111111,6,3,1
5291,1,30,73.333333,60,11.111111,3,2,5
5292,1,30,66.666667,40,0.0,3,3,5
5296,1,40,40.0,20,0.0,1,3,1
5305,2,40,40.0,40,22.222222,5,3,1
5307,2,50,53.333333,20,0.0,8,2,3
5310,2,30,80.0,20,0.0,3,5,5
5311,2,60,93.333333,40,0.0,7,4,2
5313,1,50,60.0,60,0.0,6,3,1
5324,1,50,66.666667,40,11.111111,6,3,1
5330,1,40,53.333333,40,22.222222,4,4,1
5337,1,20,33.333333,20,22.222222,6,4,1
5340,1,30,46.666667,60,11.111111,7,3,1
5342,2,20,46.666667,20,0.0,3,4,1
5344,2,60,40.0,20,77.777778,1,2,1
5351,2,30,66.666667,100,11.111111,5,1,1
5357,2,30,26.666667,20,0.0,5,2,1
5360,1,50,73.333333,60,11.111111,3,5,1
5364,2,30,80.0,80,11.111111,1,3,1
5369,2,30,40.0,80,44.444444,5,3,1
5382,1,60,80.0,40,11.111111,2,3,2
5384,1,50,53.333333,20,0.0,4,4,1
5389,2,30,80.0,40,33.333333,5,3,1
5396,1,90,100.0,80,0.0,1,5,1
5401,2,50,40.0,60,0.0,2,4,3
5408,2,70,73.333333,80,22.222222,4,2,1
5409,1,40,73.333333,100,0.0,1,4,2
5413,2,30,40.0,20,0.0,6,2,1
5417,1,30,60.0,20,0.0,8,3,1
5421,1,30,40.0,20,0.0,5,3,1
5424,2,30,40.0,60,11.111111,6,3,5
5432,1,60,46.666667,100,0.0,3,5,2
5434,2,30,40.0,20,22.222222,5,3,1
5437,1,40,46.666667,20,0.0,5,5,1
5438,1,60,73.333333,60,22.222222,4,3,1
5440,2,50,73.333333,20,11.111111,5,3,1
5441,1,30,40.0,20,33.333333,5,3,1
5442,2,30,80.0,20,11.111111,5,3,1
5447,1,30,40.0,20,33.333333,4,1,1
5451,2,30,60.0,80,11.111111,3,5,4
5453,2,30,73.333333,80,44.444444,3,4,3
5457,1,60,80.0,80,22.222222,3,4,1
5459,2,50,46.666667,60,0.0,5,2,5
5470,1,30,40.0,80,44.444444,1,4,1
5473,1,40,60.0,20,11.111111,7,4,1
5477,1,50,60.0,60,0.0,4,4,1
5479,2,30,60.0,40,11.111111,3,3,1
5483,2,30,53.333333,100,11.111111,6,3,1
5487,2,50,73.333333,80,0.0,4,2,1
5488,2,50,60.0,60,0.0,5,4,1
5495,2,30,46.666667,40,11.111111,5,3,1
5496,1,90,100.0,40,0.0,2,5,5
5502,1,30,40.0,80,0.0,5,2,1
5504,1,30,80.0,80,22.222222,4,2,1
5528,2,30,40.0,80,11.111111,5,2,1
5530,2,60,80.0,40,0.0,4,3,3
5531,2,30,40.0,80,0.0,5,2,1
5537,2,30,53.333333,60,33.333333,1,3,1
5541,1,30,53.333333,40,0.0,5,3,1
5543,1,60,66.666667,80,11.111111,2,4,1
5547,1,50,73.333333,20,22.222222,5,3,1
5552,1,70,66.666667,80,11.111111,5,5,1
5554,1,50,60.0,40,0.0,5,1,1
5561,1,30,53.333333,40,0.0,8,4,1
5562,2,40,60.0,20,22.222222,5,3,1
5567,2,20,20.0,20,44.444444,5,3,1
5574,1,40,53.333333,60,22.222222,3,3,1
5576,1,50,60.0,60,0.0,4,5,1
5578,1,80,73.333333,60,0.0,6,3,3
5583,2,60,100.0,80,0.0,4,4,2
5592,2,30,46.666667,20,0.0,5,2,5
5606,2,30,80.0,20,33.333333,5,3,1
5614,1,40,60.0,60,0.0,4,4,1
5620,1,30,60.0,20,0.0,6,3,1
5626,2,60,73.333333,80,0.0,5,3,3
5635,2,30,40.0,20,22.222222,7,3,1
5654,2,20,33.333333,60,33.333333,5,2,1
5656,1,30,40.0,40,55.555556,3,2,1
5662,2,30,40.0,20,0.0,2,3,1
5668,2,50,93.333333,40,0.0,1,2,1
5669,2,60,80.0,20,0.0,2,3,1
5676,1,30,40.0,20,22.222222,5,3,2
5677,1,50,60.0,60,0.0,3,5,1
5678,1,50,60.0,40,11.111111,4,4,1
5686,2,60,100.0,80,0.0,3,3,1
5688,1,30,60.0,60,0.0,5,3,1
5690,2,30,73.333333,20,0.0,5,3,1
5692,1,40,46.666667,40,11.111111,4,4,1
5694,2,40,80.0,60,11.111111,3,3,1
5695,2,40,86.666667,20,11.111111,4,2,1
5696,2,60,93.333333,40,0.0,6,3,4
5699,1,60,100.0,60,11.111111,2,4,5
5707,1,30,46.666667,80,44.444444,3,3,1
5712,1,30,60.0,20,55.555556,5,2,5
5713,1,30,80.0,80,0.0,1,5,1
5722,2,40,20.0,40,33.333333,4,2,1
5736,1,30,40.0,20,55.555556,5,3,1
5741,1,30,46.666667,20,11.111111,7,4,2
5747,2,30,60.0,80,44.444444,3,2,1
5749,2,20,53.333333,80,11.111111,2,3,5
5752,2,30,53.333333,40,0.0,5,3,1
5756,2,30,46.666667,80,22.222222,4,3,1
5761,2,30,60.0,20,0.0,4,3,5
5766,2,60,100.0,100,0.0,5,3,1
5769,2,60,60.0,100,22.222222,1,2,1
5771,1,60,80.0,80,0.0,5,4,1
5772,2,30,46.666667,20,22.222222,6,3,1
5775,1,60,73.333333,80,22.222222,2,3,2
5780,2,50,66.666667,40,0.0,5,2,4
5788,2,60,60.0,40,33.333333,6,2,1
5793,1,30,40.0,80,55.555556,3,3,1
5801,1,30,40.0,20,33.333333,5,2,1
5803,2,30,60.0,20,22.222222,6,3,1
5807,1,50,60.0,60,0.0,5,4,1
5810,2,20,26.666667,100,0.0,1,5,1
5816,2,60,86.666667,20,22.222222,8,2,5
5824,1,30,40.0,80,11.111111,6,3,1
5833,2,60,86.666667,80,0.0,3,3,1
5836,1,50,53.333333,60,11.111111,3,3,1
5838,1,40,53.333333,60,11.111111,4,3,1
5843,1,70,66.666667,80,0.0,6,3,1
5844,1,60,93.333333,20,0.0,2,4,5
5846,1,30,20.0,0,33.333333,4,3,1
5851,1,30,53.333333,20,22.222222,3,2,1
5855,1,30,46.666667,20,11.111111,4,4,1
5856,2,40,26.666667,60,22.222222,7,3,1
5863,1,40,40.0,40,22.222222,3,5,1
5866,1,60,100.0,20,33.333333,5,5,1
5875,2,60,100.0,100,11.111111,4,5,1
5877,2,40,46.666667,40,0.0,4,2,5
5888,2,30,26.666667,40,22.222222,5,4,1
5889,1,60,60.0,60,0.0,5,1,1
5891,1,30,60.0,20,11.111111,3,5,2
5896,2,60,86.666667,20,33.333333,5,2,1
5897,1,60,86.666667,40,33.333333,2,3,1
5898,1,40,60.0,40,0.0,3,3,1
5915,1,40,53.333333,20,22.222222,3,4,1
5919,2,70,93.333333,60,100.0,1,4,4
5922,2,30,40.0,20,22.222222,5,3,1
5927,2,40,53.333333,100,0.0,2,2,5
5930,2,30,60.0,20,22.222222,5,1,1
5934,2,30,40.0,20,0.0,5,5,1
5945,1,70,100.0,80,0.0,4,3,5
5948,2,40,40.0,40,0.0,2,3,1
5950,2,20,20.0,20,0.0,7,3,1
5951,2,30,40.0,20,0.0,6,2,1
5952,1,30,40.0,80,22.222222,2,0,5
5956,2,30,60.0,20,0.0,5,2,2
5958,2,30,60.0,20,0.0,5,2,5
5961,1,40,80.0,40,11.111111,6,2,1
5962,2,60,40.0,60,0.0,5,4,1
5971,1,30,80.0,20,22.222222,6,2,1
5974,1,30,40.0,20,0.0,7,2,1
5983,2,90,80.0,80,0.0,5,5,5
5996,2,50,26.666667,20,55.555556,5,2,1
6000,2,50,80.0,20,0.0,5,3,1
6002,2,60,80.0,80,11.111111,7,5,1
6007,2,40,73.333333,60,22.222222,4,3,1
6012,1,50,40.0,80,100.0,1,3,1
